"CO_PAIS";"CO_BLOCO";"NO_BLOCO";"TIPO"
"603";"22";"União Europeia - UE";"RELATORIOS SECEX"
"232";"22";"União Europeia - UE";"RELATORIOS SECEX"
"375";"22";"União Europeia - UE";"RELATORIOS SECEX"
"163";"22";"União Europeia - UE";"RELATORIOS SECEX"
"150";"22";"União Europeia - UE";"RELATORIOS SECEX"
"015";"22";"União Europeia - UE";"RELATORIOS SECEX"
"151";"22";"União Europeia - UE";"RELATORIOS SECEX"
"467";"22";"União Europeia - UE";"RELATORIOS SECEX"
"445";"22";"União Europeia - UE";"RELATORIOS SECEX"
"452";"22";"União Europeia - UE";"RELATORIOS SECEX"
"111";"22";"União Europeia - UE";"RELATORIOS SECEX"
"367";"22";"União Europeia - UE";"RELATORIOS SECEX"
"355";"22";"União Europeia - UE";"RELATORIOS SECEX"
"247";"22";"União Europeia - UE";"RELATORIOS SECEX"
"072";"22";"União Europeia - UE";"RELATORIOS SECEX"
"791";"22";"União Europeia - UE";"RELATORIOS SECEX"
"301";"22";"União Europeia - UE";"RELATORIOS SECEX"
"393";"22";"União Europeia - UE";"RELATORIOS SECEX"
"087";"22";"União Europeia - UE";"RELATORIOS SECEX"
"386";"22";"União Europeia - UE";"RELATORIOS SECEX"
"764";"22";"União Europeia - UE";"RELATORIOS SECEX"
"359";"22";"União Europeia - UE";"RELATORIOS SECEX"
"271";"22";"União Europeia - UE";"RELATORIOS SECEX"
"275";"22";"União Europeia - UE";"RELATORIOS SECEX"
